id,mold,eside,eback,efront,ematerial,ebathtype,elength,m1,m2,m3,m4,m5,m6,m7,m8,backA,backB,backC,backD,backK,back-cx,back-cy,back-cz,back-planarity,frontA,frontB,frontC,frontD,frontK,front-cx,front-cy,front-cz,front-planarity,bottomA,bottomB,bottomC,bottomD,bottomK,bottom-cx,bottom-cy,bottom-cz,bottom-planarity,topA,topB,topC,topD,topK,top-cx,top-cy,top-cz,top-planarity,rightA,rightB,rightC,rightD,rightK,right-cx,right-cy,right-cz,right-planarity,leftA,leftB,leftC,leftD,leftK,left-cx,left-cy,left-cz,left-planarity,heightFront,heightBack,heightRatio,lengthTop,lengthDown,lengthRatio,slopeBack,slopeFront,slopeDown,slopeSide,parallelismCos,parallelismTop,parallelismDown,parallelismRatio
2905,56,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.987354,0.158388,-0.00669275,-0.653142,0.0195566,0.672828,-0.0705938,-0.000530122,0.0607735,0.992738,-0.120278,-0.00203203,0.62756,0.0163808,-0.63866,-0.0538257,0.00589852,0.0811518,-0.0286008,-0.999553,0.00868956,0.10914,0.000208547,0.0171278,0.108703,0.000551317,0.53071,-0.000531409,-1,0.000289207,-0.22011,1.53665e-05,0.0150958,-0.22012,-0.0064572,0.211982,0.00704713,0.164528,0.986347,-0.262939,0.00238275,0.00772325,-0.0612971,0.276748,0.148364,-0.000553336,-0.165399,0.986227,0.262636,0.00280849,0.00107947,-0.0583595,-0.27609,0.0987371,0.349147,0.315116,0.902531,1.35564,1.26425,0.932586,0.158917,0.11975,0.999606,0.164966,0.99997,1.01697,0.995235,0.978631,
2908,19,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0.867758,0.482988,0.117122,-0.514461,0.015664,0.614953,-0.062387,0.093597,0.0416667,0.963623,-0.20865,0.167019,0.601513,0.0302269,-0.616977,-0.0555242,-0.111152,0.00759494,-0.0306187,-0.999481,0.00996554,0.129994,0.000292403,-0.00620273,0.130202,-0.00496828,0.504673,0.00251004,-0.999985,0.00480539,-0.233831,2.46649e-05,0.026059,-0.234079,-0.0644591,0.19598,-0.168631,0.225358,0.959571,-0.254253,0.00831199,-0.0495942,-0.0799584,0.275028,0.00097561,-0.13081,-0.102282,0.986117,0.26887,0.00492437,0.022482,-0.061063,-0.276007,0.0495495,0.392062,0.396358,1.01096,1.38124,1.10812,0.802264,0.484141,0.214075,0.999451,0.165949,0.999115,0.911362,0.888867,0.975317,
2917,1,0,4,4,1,0,2,0,0,0,0,0,0,0,0,0.991654,0.127261,0.0206582,-0.662052,0.0311692,0.676046,-0.0667595,0.00701588,0.0058309,0.988408,-0.151611,-0.00795367,0.63443,0.029545,-0.650074,-0.0536176,0.00262195,0.00533333,-0.0245043,-0.999694,-0.00349556,0.100712,0.000481527,0.0183441,0.100296,-0.000823482,0.229224,-0.00255547,-0.999968,-0.00757151,-0.21143,1.36603e-05,-0.0196263,-0.21123,-0.0207007,0.226481,-0.00182059,0.172122,0.985074,-0.262835,0.00358964,0.00800237,-0.0614267,0.277566,0.041514,0.000587435,-0.182188,0.983264,0.262013,0.0037716,0.00620619,-0.0602141,-0.277633,0.0565584,0.32956,0.300301,0.91122,1.36904,1.28119,0.935832,0.129822,0.149089,0.999759,0.177157,0.999997,0.992309,0.971221,0.978749,
2918,155,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.902986,0.429666,-0.00180772,-0.54455,0.0158704,0.637195,-0.0717197,0.00687163,0.0663717,0.991153,-0.132677,-0.00348505,0.603022,0.0105179,-0.615115,-0.0500127,-0.00442555,0.2194,-0.0423374,-0.999092,0.00480407,0.126216,0.0002111,-0.0109548,0.126784,-0.00225299,0.291291,-0.00171158,-0.999999,0.000179287,-0.235241,3.67449e-05,0.0809144,-0.235385,-0.0260823,0.160173,-0.00567216,0.149874,0.988689,-0.26498,0.00201126,-0.00537967,-0.0662719,0.278027,0.429385,-0.012864,-0.155909,0.987688,0.264917,0.00238854,-0.00660098,-0.0628554,-0.278228,0.369863,0.388818,0.375798,0.966512,1.35542,1.14337,0.843553,0.431211,0.130982,0.999174,0.152899,0.999973,1.01518,0.98678,0.972025,
2921,564,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.967186,0.254009,-0.0055742,-0.606843,0.0180895,0.644372,-0.064513,-0.000476066,0.031746,0.994511,-0.104609,0.00226446,0.623309,0.0188704,-0.631954,-0.04943,0.00243986,0.0530504,-0.0309743,-0.999499,0.00653659,0.0974281,0.00029,-0.00032822,0.0974752,-0.00182349,0.238938,0.000976695,-0.999989,-0.0044905,-0.206508,2.1662e-05,-0.0215693,-0.207404,0.194537,0.153374,-0.0129969,0.17902,0.98376,-0.263027,0.00266037,-0.0170728,-0.0650446,0.27898,0.0702427,-0.0027047,-0.189191,0.981937,0.262782,0.00264912,-0.00772927,-0.0752267,-0.282131,0.0679953,0.325393,0.294218,0.904195,1.33009,1.2219,0.918659,0.253068,0.105581,0.999489,0.184116,0.999945,0.978201,0.947345,0.968456,
2926,554,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.993516,0.113467,0.00713095,-0.649571,0.0186225,0.661712,-0.0697373,0.00881139,0.0895141,0.991998,-0.125782,0.0108616,0.6314,0.0152046,-0.643224,-0.0531668,-0.00102,0.0767442,-0.0261319,-0.999657,0.00200358,0.127382,0.00025132,0.0131646,0.127093,0.00565333,0.48419,-0.00180676,-0.999998,0.00013789,-0.230115,0.000170168,0.0107732,-0.230149,-0.0998215,0.102662,-0.00958343,0.205974,0.97851,-0.264154,0.00270444,0.00163813,-0.0804901,0.286914,0.128155,-0.00735247,-0.133893,0.990969,0.263114,0.00253037,-0.00116695,-0.0570684,-0.273232,0.107259,0.375733,0.344484,0.916833,1.34574,1.25983,0.936161,0.115265,0.123997,0.999704,0.169941,0.999997,0.993462,0.971207,0.977598,
2942,88,2,2,1,0,0,2,0,0,0,0,0,0,0,0,0.838176,0.545338,0.00820279,-0.471146,0.0037152,0.596811,-0.0534918,0.0103225,0.243373,0.987584,-0.155867,0.0195796,0.596316,0.00435374,-0.610472,-0.0437358,-0.0122763,0.230769,-0.0346684,-0.999248,0.0173523,0.132262,0.000127909,-0.0281312,0.133282,-0.00316101,0.591362,0.00677031,-0.999948,0.00765645,-0.225492,8.89514e-05,0.157739,-0.224578,-0.0185189,0.139665,-0.0256312,0.211268,0.977092,-0.263679,0.00354467,-0.046833,-0.0735383,0.284533,0.00985761,-0.00714917,-0.119711,0.992783,0.270207,0.00319478,-0.00360845,-0.0596859,-0.279394,0.0986267,0.387166,0.401309,1.03653,1.34569,1.06721,0.793055,0.539669,0.162581,0.999141,0.16558,0.999819,0.964303,0.936291,0.970951,
2977,20,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0.904506,0.426446,0.00360843,-0.535008,0.0255199,0.620898,-0.0623815,0.00116759,0.0386266,0.984882,-0.173213,-0.00208493,0.602924,0.00924287,-0.620409,-0.0468376,0.00362977,0.263682,-0.0278139,-0.9996,-0.00508736,0.133951,0.000263983,-0.0114834,0.134325,-0.000151642,0.315287,0.000809322,-0.999998,0.00164555,-0.22925,7.28635e-06,0.211496,-0.228873,0.125349,0.152941,0.00600992,0.188495,0.982056,-0.260288,0.00197052,-0.0232873,-0.0533146,0.27542,0.461358,-0.00111694,-0.214163,0.976797,0.257502,0.0020811,-0.00229133,-0.0750477,-0.280076,0.0934673,0.385933,0.384559,0.99644,1.35193,1.12151,0.829565,0.425716,0.174011,0.99959,0.201326,0.999974,1.0166,0.990161,0.973996,
2979,551,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.991971,0.126457,-0.00156563,-0.656959,0.0184364,0.671153,-0.0696993,-0.00530612,0.0661157,0.988841,-0.148964,-0.00165735,0.637687,0.0174671,-0.653016,-0.0540207,0.00275285,0.0932642,-0.0243918,-0.999671,-0.0079585,0.114884,0.000591725,0.00805043,0.114702,0.00289507,0.243925,-0.0012145,-0.999986,-0.00509347,-0.225892,1.03017e-05,-0.00275455,-0.225826,-0.0129482,0.178832,0.00800108,0.175444,0.984457,-0.265592,0.00267704,0.0156172,-0.0606821,0.280473,0.0851064,0.00804411,-0.212762,0.977071,0.258892,0.00299662,-0.0134388,-0.0619562,-0.278348,0.161798,0.359256,0.328479,0.91433,1.37,1.27534,0.930906,0.127662,0.147763,0.999731,0.194126,1,0.998759,0.974959,0.97617,
2984,526,0,1,1,1,0,2,0,0,0,0,0,0,0,0,0.955252,0.295793,0.000259415,-0.600645,0.0222535,0.649352,-0.0664335,0.001902,0.0398936,0.992195,-0.124639,0.00370416,0.618778,0.0236328,-0.630492,-0.0545475,-0.00172912,0.079602,-0.0259851,-0.999659,-0.00266174,0.10992,0.000347789,0.00123103,0.109926,-0.000294619,0.378482,-0.00170774,-0.999995,0.00266334,-0.212927,2.68075e-05,-0.019823,-0.212477,0.156821,0.216667,-0.00456111,0.127816,0.991787,-0.267662,0.00319948,-0.00808023,-0.0568699,0.27717,0.0645161,-0.00777142,-0.185215,0.982667,0.260918,0.00316541,0.00237828,-0.0783026,-0.28026,0.0540254,0.340404,0.323035,0.948976,1.34534,1.20785,0.897804,0.297424,0.122945,0.999705,0.156506,0.999995,1.0062,0.988125,0.982039,
